HACKATHON> show-unicode-characters :all

ARROWS

2190 : ←   #\LEFTWARDS_ARROW
27A9 : ➩   #\RIGHT-SHADED_WHITE_RIGHTWARDS_ARROW
27AA : ➪   #\LEFT-SHADED_WHITE_RIGHTWARDS_ARROW
27AB : ➫   #\BACK-TILTED_SHADOWED_WHITE_RIGHTWARDS_ARROW
27AC : ➬   #\FRONT-TILTED_SHADOWED_WHITE_RIGHTWARDS_ARROW
27AD : ➭   #\HEAVY_LOWER_RIGHT-SHADOWED_WHITE_RIGHTWARDS_ARROW
27AE : ➮   #\HEAVY_UPPER_RIGHT-SHADOWED_WHITE_RIGHTWARDS_ARROW
27AF : ➯   #\NOTCHED_LOWER_RIGHT-SHADOWED_WHITE_RIGHTWARDS_ARROW
27B0 : ➰   #\CURLY_LOOP
27B1 : ➱   #\NOTCHED_UPPER_RIGHT-SHADOWED_WHITE_RIGHTWARDS_ARROW
27B2 : ➲   #\CIRCLED_HEAVY_WHITE_RIGHTWARDS_ARROW
27B3 : ➳   #\WHITE-FEATHERED_RIGHTWARDS_ARROW
27B4 : ➴   #\BLACK-FEATHERED_SOUTH_EAST_ARROW
27B5 : ➵   #\BLACK-FEATHERED_RIGHTWARDS_ARROW
27B6 : ➶   #\BLACK-FEATHERED_NORTH_EAST_ARROW
27B7 : ➷   #\HEAVY_BLACK-FEATHERED_SOUTH_EAST_ARROW
27B8 : ➸   #\HEAVY_BLACK-FEATHERED_RIGHTWARDS_ARROW
27B9 : ➹   #\HEAVY_BLACK-FEATHERED_NORTH_EAST_ARROW
27BA : ➺   #\TEARDROP-BARBED_RIGHTWARDS_ARROW
27BB : ➻   #\HEAVY_TEARDROP-SHANKED_RIGHTWARDS_ARROW
27BC : ➼   #\WEDGE-TAILED_RIGHTWARDS_ARROW
27BD : ➽   #\HEAVY_WEDGE-TAILED_RIGHTWARDS_ARROW
27BE : ➾   #\OPEN-OUTLINED_RIGHTWARDS_ARROW
27BF : ➿   #\DOUBLE_CURLY_LOOP
27C0 : ⟀   #\THREE_DIMENSIONAL_ANGLE
27C1 : ⟁   #\WHITE_TRIANGLE_CONTAINING_SMALL_WHITE_TRIANGLE
27C2 : ⟂   #\PERPENDICULAR
27C3 : ⟃   #\OPEN_SUBSET
27C4 : ⟄   #\OPEN_SUPERSET
27C5 : ⟅   #\LEFT_S-SHAPED_BAG_DELIMITER
27C6 : ⟆   #\RIGHT_S-SHAPED_BAG_DELIMITER
27C7 : ⟇   #\OR_WITH_DOT_INSIDE
27C8 : ⟈   #\REVERSE_SOLIDUS_PRECEDING_SUBSET
27C9 : ⟉   #\SUPERSET_PRECEDING_SOLIDUS
27CA : ⟊   #\VERTICAL_BAR_WITH_HORIZONTAL_STROKE
27CB : ⟋   #\MATHEMATICAL_RISING_DIAGONAL
27CC : ⟌   #\LONG_DIVISION
27CD : ⟍   #\MATHEMATICAL_FALLING_DIAGONAL
27CE : ⟎   #\SQUARED_LOGICAL_AND
27CF : ⟏   #\SQUARED_LOGICAL_OR
27D0 : ⟐   #\WHITE_DIAMOND_WITH_CENTRED_DOT
27D1 : ⟑   #\AND_WITH_DOT
27D2 : ⟒   #\ELEMENT_OF_OPENING_UPWARDS
27D3 : ⟓   #\LOWER_RIGHT_CORNER_WITH_DOT
27D4 : ⟔   #\UPPER_LEFT_CORNER_WITH_DOT
27D5 : ⟕   #\LEFT_OUTER_JOIN
27D6 : ⟖   #\RIGHT_OUTER_JOIN
27D7 : ⟗   #\FULL_OUTER_JOIN
27D8 : ⟘   #\LARGE_UP_TACK
27D9 : ⟙   #\LARGE_DOWN_TACK
27DA : ⟚   #\LEFT_AND_RIGHT_DOUBLE_TURNSTILE
27DB : ⟛   #\LEFT_AND_RIGHT_TACK
27DC : ⟜   #\LEFT_MULTIMAP
27DD : ⟝   #\LONG_RIGHT_TACK
27DE : ⟞   #\LONG_LEFT_TACK
27DF : ⟟   #\UP_TACK_WITH_CIRCLE_ABOVE
27E0 : ⟠   #\LOZENGE_DIVIDED_BY_HORIZONTAL_RULE
27E1 : ⟡   #\WHITE_CONCAVE-SIDED_DIAMOND
27E2 : ⟢   #\WHITE_CONCAVE-SIDED_DIAMOND_WITH_LEFTWARDS_TICK
27E3 : ⟣   #\WHITE_CONCAVE-SIDED_DIAMOND_WITH_RIGHTWARDS_TICK
27E4 : ⟤   #\WHITE_SQUARE_WITH_LEFTWARDS_TICK
27E5 : ⟥   #\WHITE_SQUARE_WITH_RIGHTWARDS_TICK
27E6 : ⟦   #\MATHEMATICAL_LEFT_WHITE_SQUARE_BRACKET
27E7 : ⟧   #\MATHEMATICAL_RIGHT_WHITE_SQUARE_BRACKET
27E8 : ⟨   #\MATHEMATICAL_LEFT_ANGLE_BRACKET
27E9 : ⟩   #\MATHEMATICAL_RIGHT_ANGLE_BRACKET
27EA : ⟪   #\MATHEMATICAL_LEFT_DOUBLE_ANGLE_BRACKET
27EB : ⟫   #\MATHEMATICAL_RIGHT_DOUBLE_ANGLE_BRACKET
27EC : ⟬   #\MATHEMATICAL_LEFT_WHITE_TORTOISE_SHELL_BRACKET
27ED : ⟭   #\MATHEMATICAL_RIGHT_WHITE_TORTOISE_SHELL_BRACKET
27EE : ⟮   #\MATHEMATICAL_LEFT_FLATTENED_PARENTHESIS
27EF : ⟯   #\MATHEMATICAL_RIGHT_FLATTENED_PARENTHESIS
27F0 : ⟰   #\UPWARDS_QUADRUPLE_ARROW
27F1 : ⟱   #\DOWNWARDS_QUADRUPLE_ARROW
27F2 : ⟲   #\ANTICLOCKWISE_GAPPED_CIRCLE_ARROW
27F3 : ⟳   #\CLOCKWISE_GAPPED_CIRCLE_ARROW
27F4 : ⟴   #\RIGHT_ARROW_WITH_CIRCLED_PLUS
27F5 : ⟵   #\LONG_LEFTWARDS_ARROW
27F6 : ⟶   #\LONG_RIGHTWARDS_ARROW
27F7 : ⟷   #\LONG_LEFT_RIGHT_ARROW
27F8 : ⟸   #\LONG_LEFTWARDS_DOUBLE_ARROW
27F9 : ⟹   #\LONG_RIGHTWARDS_DOUBLE_ARROW
27FA : ⟺   #\LONG_LEFT_RIGHT_DOUBLE_ARROW
27FB : ⟻   #\LONG_LEFTWARDS_ARROW_FROM_BAR
27FC : ⟼   #\LONG_RIGHTWARDS_ARROW_FROM_BAR
27FD : ⟽   #\LONG_LEFTWARDS_DOUBLE_ARROW_FROM_BAR
27FE : ⟾   #\LONG_RIGHTWARDS_DOUBLE_ARROW_FROM_BAR
27FF : ⟿   #\LONG_RIGHTWARDS_SQUIGGLE_ARROW

SUPPLEMENTAL-ARROWS-A

27F0 : ⟰   #\UPWARDS_QUADRUPLE_ARROW
27F1 : ⟱   #\DOWNWARDS_QUADRUPLE_ARROW
27F2 : ⟲   #\ANTICLOCKWISE_GAPPED_CIRCLE_ARROW
27F3 : ⟳   #\CLOCKWISE_GAPPED_CIRCLE_ARROW
27F4 : ⟴   #\RIGHT_ARROW_WITH_CIRCLED_PLUS
27F5 : ⟵   #\LONG_LEFTWARDS_ARROW
27F6 : ⟶   #\LONG_RIGHTWARDS_ARROW
27F7 : ⟷   #\LONG_LEFT_RIGHT_ARROW
27F8 : ⟸   #\LONG_LEFTWARDS_DOUBLE_ARROW
27F9 : ⟹   #\LONG_RIGHTWARDS_DOUBLE_ARROW
27FA : ⟺   #\LONG_LEFT_RIGHT_DOUBLE_ARROW
27FB : ⟻   #\LONG_LEFTWARDS_ARROW_FROM_BAR
27FC : ⟼   #\LONG_RIGHTWARDS_ARROW_FROM_BAR
27FD : ⟽   #\LONG_LEFTWARDS_DOUBLE_ARROW_FROM_BAR
27FE : ⟾   #\LONG_RIGHTWARDS_DOUBLE_ARROW_FROM_BAR
